id,Prov,trade good ,latent trade good,tax,prod,manpower,terrain,Center of Trade,Local Airport,Airport,Border Crossing,Mountain Pass,Isthmus,River Tributary,River Estruary
1066,Dobrzyniewo Duze,Dairy,0,1,1,1,Floodplains,,,,,,,,
1067,Jaswily,Vegetables,0,1,1,1,Grasslands,,,,,,,,
1068,Janow,Dairy,0,1,1,1,Farmlands,,,,,,,,
1069,Bulkowo,0,0,1,1,1,Farmlands,,,,,,,,
1070,Sidra,Apiculture,0,1,1,1,Woods,,,,,,,,
1071,Repki,0,0,1,1,1,Grasslands,,,,,,,,
1072,Grunwald,Pigs,0,1,1,1,Grasslands,,,,,,,,
1073,Mala Wies,0,0,1,1,1,Farmlands,,,,,,,,
1074,Mlodzieszyn,0,0,1,1,1,Grasslands,,,,,,,,
1075,Tyumen,0,0,1,1,1,Farmlands,,,,,,,,
1076,Szudzialowo,Grain,0,1,1,1,Farmlands,,,,,,,,
1077,Punsk,Livestock,0,1,1,1,Woods,,,,,,,,
1078,Wizajny,Fish,0,1,1,1,Grasslands,,,,,,,,
1079,Jeleniewo,Fur,0,1,1,1,Forest,,,,,,,,
1080,Drobin,0,0,1,1,1,Farmlands,,,,,,,,
1081,Siennica,0,0,1,1,1,Grasslands,,,,,,,,
1082,Goldap,Tourists,0,3,2,3,Woods,,,,,,,,
1083,Kowale Oleckie,Pigs,0,1,1,1,Grasslands,,,,,,,,
1084,Fredropol,Chemicals,0,1,1,1,Hills,,,,,,,,
1085,Orly,Horses,0,1,1,1,Grasslands,,,,,,,,
1086,City Of Przemysl,Chemicals,0,13,11,10,Urban,,,,,,,,
1087,Zurawica,Wheat,0,1,1,2,Grasslands,,,,,,,,
1088,Mircze,Sugar,0,1,1,1,Farmlands,,,,,,,,
1089,Horniec-Zdroj,Sulfur,0,#N/A,#N/A,#N/A,Woods,,,,,,,,
1090,Radymno,Ceramics,0,2,1,2,Farmlands,,,,,,,,
1091,Lubaczow,Sulfur,0,1,1,1,Farmlands,,,,,,,,
1092,Jerzmanowice-Przegina,Stone,0,#N/A,#N/A,#N/A,Grasslands,,,,,,,,
1093,Sulkowice,Copper,0,2,1,2,Hills,,,,,,,,
1094,Budzow,Lumber,0,1,1,1,Highlands,,,,,,,,
1095,Pieszyce,Cloth,0,1,1,1,Farmlands,,,,,,,,
1096,Koszarawa,0,0,1,1,1,Forest,,,,,,,,
1097,City of Jordanow,Wheat,0,1,1,1,Highlands,,,,,,,,
1098,Krosno,0,0,12,15,8,Urban,,,,,,,,
1099,Chodel,Fruits,0,1,1,1,Farmlands,,,,,,,,
1100,Olszanica,Tourists,0,1,1,1,Highlands,,,,,,,,
1101,Lesko,Tourists,0,1,1,2,Highlands,,,,,,,,
1102,Ustrzyki Dolne,Tourists,0,3,1,3,Hills,,,,,,,,
1103,Baligrod,Lumber,0,1,1,1,Forest,,,,,,,,
1104,Slawno,0,0,#N/A,#N/A,#N/A,Grasslands,,,,,,,,
1105,Darlowo,0,0,2,1,1,Grasslands,,,,,,,,
1106,Belzec,Grain,0,1,1,1,Farmlands,,,,,,,,
1107,Rokietnica,Lumber,0,3,1,4,Woods,,,,,,,,
1108,Chlopice,Triticale,0,1,1,1,Farmlands,,,,,,,,
1109,City of Hrubieszow,Sugar,0,2,2,3,Farmlands,,,,,,,,
1110,Grabica,0,0,1,1,1,Farmlands,,,,,,,,
1111,Bojszowy,Grain,0,1,1,1,Hills,,,,,,,,
1112,Opatow,0,0,1,1,2,Hills,,,,,,,,
1113,Leki Szlacheckie,0,0,1,1,1,Woods,,,,,,,,
1114,Checiny,0,0,2,1,2,Hills,,,,,,,,
1115,Mniszkow,Tourists,0,1,1,1,Woods,,,,,,,,
1116,Sulejow,Tourists,0,2,1,3,Forest,,,,,,,,
1117,Stzrelce Wielkie,Livestock,0,1,1,1,Grasslands,,,,,,,,
1118,Herby,0,0,1,1,1,Forest,,,,,,,,
1119,Wreczyca Wielka,0,0,2,1,3,Woods,,,,,,,,
1121,Dobryszyce,0,0,1,1,1,Grasslands,,,,,,,,
1122,kodrlb,0,0,1,1,1,Grasslands,,,,,,,,
1123,Daleszyce,0,0,2,1,3,Forest,,,,,,,,
1124,Lgota Wielka,0,0,1,1,1,Farmlands,,,,,,,,
1125,Przedborz,0,0,1,1,1,Forest,,,,,,,,
1126,Janow,0,0,#N/A,#N/A,#N/A,Woods,,,,,,,,
1127,Rozprza,0,0,2,1,2,Grasslands,,,,,,,,
1128,Pajeczno,Dairy,0,1,1,2,Grasslands,,,,,,,,
1129,Slawno,Lumber,0,1,1,1,Grasslands,,,,,,,,
1130,Strawczyn,0,0,1,1,2,Hills,,,,,,,,
1131,Piekoszow,0,0,2,1,3,Hills,,,,,,,,
1132,Opoczno,Stone,0,5,6,6,Urban,,,,,,,,
1133,Smykow,0,0,1,1,1,Forest,,,,,,,,
1134,Slupia Konecka,0,0,1,1,1,Woods,,,,,,,,
1135,Radoszyce,0,0,1,1,1,Woods,,,,,,,,
1136,City of Radomsko,Lumber,0,7,10,8,Urban,,,,,,,,
1137,Falkow,0,0,1,1,1,Forest,,,,,,,,
1138,Mstow,0,0,1,1,2,Hills,,,,,,,,
1139,Zarki,0,0,1,1,1,Woods,,,,,,,,
1140,Klomnice,0,0,1,1,2,Hills,,,,,,,,
1141,Siewierz,0,0,2,2,2,Woods,,,,,,,,
1142,Kluczewsko,0,0,1,1,1,Forest,,,,,,,,
1143,Krasocin,0,0,1,1,1,Forest,,,,,,,,
1144,Kobiele Wielkie,0,0,1,1,1,Woods,,,,,,,,
1145,Wielgomlyny,0,0,1,1,1,Grasslands,,,,,,,,
1146,Zytno,0,0,1,1,1,Forest,,,,,,,,
1147,Iwkowa,Fruits,0,1,1,1,Farmlands,,,,,,,,
1148,Kozieglowy,0,0,2,1,2,Hills,,,,,,,,
1149,Slawkow,0,0,1,1,1,Woods,,,,,,,,
1150,Radomsko,0,0,1,1,1,Grasslands,,,,,,,,
1151,Nowy Zmigrod,Cattle,0,1,1,1,Grasslands,,,,,,,,
1152,Poreba,0,0,1,1,1,Forest,,,,,,,,
1153,Zawiercie,0,0,7,9,8,Urban,,,,,,,,
1154,Lazy,0,0,2,1,2,Forest,,,,,,,,
1156,Secemin,0,0,1,1,1,Forest,,,,,,,,
1157,Moskorzew,0,0,1,1,1,Hills,,,,,,,,
1158,Jedrzejow,Cloth,0,4,4,5,Hills,,,,,,,,
1159,Naglowice,Grain,0,1,1,1,Farmlands,,,,,,,,
1160,Slupia,Grain,0,1,1,1,Farmlands,,,,,,,,
1161,Koniecpol,0,0,1,1,1,Hills,,,,,,,,
1162,Wlodowice,0,0,1,1,1,Forest,,,,,,,,
1163,Spytkowice,Grain,0,1,1,1,Hills,,,,,,,,
1164,Lacko,Vodka,0,3,1,3,Highlands,,,,,,,,
1165,Czernichow,Grain,0,2,1,2,Farmlands,,,,,,,,
1166,Alwernia,Stone,0,1,1,2,Forest,,,,,,,,
1167,Bukowsko,0,0,1,1,1,Forest,,,,,,,,
1168,Bystra-Sidzina,Oscypek,0,#N/A,#N/A,#N/A,Mountain,,,,,,,,
1169,Trzebina,Coal,0,4,4,6,Farmlands,,,,,,,,
1170,Kalwaria Zebrzydowska,Lumber,0,3,2,3,Woods,,,,,,,,
1171,Gnojnik,Grain,0,1,1,1,Farmlands,,,,,,,,
1172,Zagorz,0,0,2,1,2,Forest,,,,,,,,
1173,City of Auschwitz,Tourists,0,6,8,6,Urban,,,,,,,,
1174,Rajcza,0,0,1,1,1,Forest,,,,,,,,
1175,Ujsoly,0,0,1,1,1,Forest,,,,,,,,
1176,Lipnica Wielka,Lumber,0,1,1,1,Woods,,,,,,,,
1177,Lapsze Nizne,Fur,0,1,1,1,Grasslands,,,,,,,,
1178,Czorsztyn,Tourists,0,1,1,1,Hills,,,,,,,,
1179,Bialy Dunajec,Oscypek,0,1,1,1,Highlands,,,,,,,,
1180,Zakopane,Tourists,0,5,5,4,Mountain,,,,,,,,
1181,Bukowina Tatrzanska,Oscypek,0,2,1,2,Mountain,,,,,,,,
1182,Tymbark,Fruits,0,1,1,1,Farmlands,,,,,,,,
1183,Zegocina,Livestock,0,1,1,1,Hills,,,,,,,,
1184,Dobczyce,Cloth,0,3,2,2,Highlands,,,,,,,,
1185,Wieliczka,Salt,0,11,8,12,Urban,,,,,,,,
1186,City of Bochnia,Salt,0,5,7,5,Urban,,,,,,,,
1187,Drwina,Lumber,0,1,1,1,Woods,,,,,,,,
1188,Igolomia-Wawrzence,Livestock,0,#N/A,#N/A,#N/A,Farmlands,,,,,,,,
1189,Zielonki,Stone,0,4,2,5,Hills,,,,,,,,
1190,Kocmyrzow-Luborzyca,Grain,0,#N/A,#N/A,#N/A,Farmlands,,,,,,,,
1191,Nowe Brzesko,Barley,0,1,1,1,Farmlands,,,,,,,,
1192,Rzezawa,Vegetables,0,1,1,2,Farmlands,,,,,,,,
1193,Solina,Tourists,0,1,1,1,Hills,,,,,,,,
1194,Komancza,0,0,1,1,1,Forest,,,,,,,,
1195,Gmina Sanok,0,0,3,1,3,Woods,,,,,,,,
1196,Chelmiec,Stone,0,5,3,5,Farmlands,,,,,,,,
1197,Kamionka Wielka,Lumber,0,1,1,1,Hills,,,,,,,,
1198,Nawojowa,Vegetables,0,1,1,1,Hills,,,,,,,,
1199,Grzybow,Iron,0,4,1,4,Urban,,,,,,,,
1200,City of Grzybow,Beer,0,1,1,1,Farmlands,,,,,,,,
1201,Brzesko,Beer,0,5,6,6,Urban,,,,,,,,
1202,Mombasa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1203,Wojaszowka,Stone,0,1,1,1,Hills,,,,,,,,
1204,Frysztak,0,0,1,1,1,Woods,,,,,,,,
1205,Wielkopole Skrzynskie,Chemicals,0,1,1,1,Highlands,,,,,,,,
1206,Iwierzyce,Horses,0,1,1,1,Farmlands,,,,,,,,
1207,Niwiska,Lumber,0,1,1,1,Forest,,,,,,,,
1208,Zabno,Chemicals,0,2,2,3,Farmlands,,,,,,,,
1209,Radlow,Fish,0,1,1,1,Floodplains,,,,,,,,
1210,Kamien,Pigs,0,#N/A,#N/A,#N/A,Grasslands,,,,,,,,
1211,Jezowe,Metalworking,0,1,1,1,Hills,,,,,,,,
1212,Gora Kalwaria,0,0,4,4,5,Farmlands,,,,,,,,
1213,Opatowiec,0,0,1,1,1,Hills,,,,,,,,
1214,Gawluszowice,Triticale,0,1,1,1,Grasslands,,,,,,,,
1215,Greboszow,Grain,0,1,1,1,Floodplains,,,,,,,,
1216,Czarnocin,0,0,#N/A,#N/A,#N/A,Farmlands,,,,,,,,
1217,Dwikozy,Fruits,0,1,1,1,Farmlands,,,,,,,,
1218,Proszkowice,Wheat,0,2,1,2,Farmlands,,,,,,,,
1219,Debno,Lumber,0,3,2,3,Woods,,,,,,,,
1220,Olesnica,0,0,#N/A,#N/A,#N/A,Farmlands,,,,,,,,
1221,Zlota,Grain,0,1,1,1,Hills,,,,,,,,
1222,Solec-Zdroj,Tourists,0,#N/A,#N/A,#N/A,Farmlands,,,,,,,,
1223,Pysznica,0,0,1,1,2,Forest,,,,,,,,
1224,Zaklikow,0,0,1,1,1,Forest,,,,,,,,
1225,Boleslaw,Vegetables,0,1,1,1,Farmlands,,,,,,,,
1226,Nowy Korczyn,Beer,0,1,1,1,Floodplains,,,,,,,,
1227,Samborzec,Fruits,0,1,1,1,Farmlands,,,,,,,,
1228,Koszyce,Wheat,0,1,1,1,Farmlands,,,,,,,,
1229,Stopnica,Grain,0,1,1,1,Grasslands,,,,,,,,
1230,Pacanow,Livestock,0,1,1,1,Farmlands,,,,,,,,
1232,Kazmierza Wielkia,0,0,2,1,2,Farmlands,,,,,,,,
1233,Slaboszow,Grain,0,1,1,1,Grasslands,,,,,,,,
1234,Klimantow,Cloth,0,1,1,1,Farmlands,,,,,,,,
1239,City Of Tomaszow Lubelski,Iron,0,2,4,3,Farmlands,,,,,,,,
1240,Piastow,0,0,4,2,4,Grasslands,,,,,,,,
1241,Raszyn,0,0,5,7,4,Grasslands,,,,,,,,
1242,Cieszanow,Cattle,0,1,1,1,Grasslands,,,,,,,,
1243,Stare Babice,0,0,4,3,4,Grasslands,,,,,,,,
1244,Lomianki,0,0,6,6,5,Urban,,,,,,,,
1246,Hrubieszow,Hemp,0,1,1,1,Farmlands,,,,,,,,
1247,Wapno,0,0,1,1,1,Farmlands,,,,,,,,
1248,Bochnia,Salt,0,3,1,3,Farmlands,,,,,,,,
1249,Wloszczowa,Dairy,0,2,4,3,Forest,,,,,,,,
1250,VĂÂ¤nern,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1251,VĂÂ¤ttern,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1260,Lake Peipus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1261,Ladoga,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1262,Onega,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1263,Odra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1273,Kolaczyce,Wine,0,1,1,1,Hills,,,,,,,,
1289,Wisla,Tourists,0,2,1,2,Forest,,,,,,,,
1306,Babice,Lumber,0,1,1,1,Forest,,,,,,,,
1318,Katowice,Coal,0,57,64,53,High Urban,,,,,,,,
1325,Lake Balaton,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1326,Caspian Sea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1336,Coast of Makran,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1423,Cook Strait,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1446,Horn of Africa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1459,Coast of Ciskei,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1530,Coast of Brazil,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1561,Cook Inlet,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1563,Hatton Bank,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1564,Eastern Gibbs Fracture,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1565,Western Gibbs Fracture,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1567,Sea of Azores,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1568,Corner Seamounts,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1570,New England Seamounts,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1571,Blake Plateau,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1574,Antilles Current,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1577,Southern Guiana Basin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1578,Canary Approach,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1580,Central North Atlantic,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1581,North Equatorial Current,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1582,Northeast Sargasso Sea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1583,Southeast Sargasso Sea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1586,West Guinea Basin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1615,Southeastern Arabian Sea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1616,North Indian Ocean,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1618,Western Equatorial Counter Current,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1622,Eastern Equatorial Counter Current,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1636,Southwestern Indian Ridge,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1647,Western Indian Ocean South Equatorial Current,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1648,Lake Tchad,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1649,Lake Victoria,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1650,Lake Tanganyika,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1651,Lake Malawi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1653,Lake Balchasj,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1654,Lake Bajkal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1655,Poyang Lake,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1656,Lake Titicaca,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1657,Lake Nicaragua,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1658,Lake Okeechobee,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1659,Lake Ontario,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1660,Lake Erie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1663,Jezioro Wilczkowo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1664,Jezioro Trzesiecko,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1665,Jezioro Wierzchowo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1676,Wkra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1677,Drawa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1678,Obra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1679,Wisloka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1680,Prosna,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1681,Wislok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1682,Raba,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1683,Rega,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1684,Parseta,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1685,Slupia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1686,Mala Panew,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1687,Wieprz,Grain,0,2,1,2,Farmlands,,,,,,,,
1688,Baryczx,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1689,Pisa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1690,Nysa Klodzka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1691,Bobr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1692,Bzura,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1693,Pilica,0,0,1,1,1,Hills,,,,,,,,
1694,Jezioro Wielimie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1695,Gwda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1696,Notec,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1697,Bug,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1698,Czarna,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1699,Czarna Nida,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1700,Bobrza,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1701,Nida,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1702,Narew,Fur,0,1,1,1,Marsh,,,,,,,,
1703,Dunajec,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1704,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1705,Eastern Pacific #6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1706,Eastern Pacific #7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1707,Eastern Pacific #8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1708,Eastern Pacific #9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1709,Eastern Pacific #10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1710,Eastern Pacific #11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1711,Eastern Pacific #12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1712,Eastern Pacific #13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1713,Eastern Pacific #14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1714,Eastern Pacific #15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1715,Eastern Pacific #16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1716,Eastern Pacific #17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1717,Southern Pacifc #1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1718,Southern Pacifc #2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1719,Southern Pacifc #3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1720,Southern Pacifc #4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1721,Southern Pacifc #5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1722,Southern Pacifc #6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1723,Southern Pacifc #7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1724,Southern Pacifc #8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1725,Southern Pacifc #9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1726,Southern Pacifc #10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1727,Southern Pacifc #11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1728,Southern Pacifc #12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1729,Southern Pacifc #13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1730,Southern Pacifc #14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1731,Southern Pacifc #15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1732,Southern Pacifc #16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1733,Southern Pacifc #17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1734,Southern Pacifc #18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1735,Southern Pacifc #19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1736,Southern Pacifc #20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1737,Southern Pacifc #22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1738,Southern Pacifc #23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1739,Southern Pacifc #24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1740,Southern Pacifc #25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1741,Southern Pacifc #26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1742,Bcdkowo,Grain,0,1,1,1,Farmlands,,,,,,,,
1743,Osieczna,Grain,0,1,1,1,Farmlands,,,,,,,,
1744,Swiekatowo,0,0,1,1,1,Grasslands,,,,,,,,
1745,Dobra,0,0,#N/A,#N/A,#N/A,Forest,,,,,,,,
1746,Drawsko Pomorskie,0,0,3,2,3,Woods,,,,,,,,
1747,Brojce,Vegetables,0,1,1,1,Grasslands,,,,,,,,
1748,Tuczno,Sugar,0,1,1,1,Forest,,,,,,,,
1749,Swidwin,0,0,1,1,1,Grasslands,,,,,,,,
1750,Miasteczko Krajenskie,0,0,1,1,1,Grasslands,,,,,,,,
1751,Rogow,Tourists,0,1,1,1,Woods,,,,,,,,
1752,Lubomino,Barley,0,1,1,1,Grasslands,,,,,,,,
1753,Stare Juchy,Pigs,0,1,1,1,Marsh,,,,,,,,
1754,Kruklanki,Poultry,0,1,1,1,Marsh,,,,,,,,
1755,Przerosl,Livestock,0,1,1,1,Woods,,,,,,,,
1756,Barglow Koscielny,Grain,0,1,1,1,Farmlands,,,,,,,,
1757,Wisla,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1758,Kazimierz Biskupi,0,0,1,1,2,Farmlands,,,,,,,,
1759,Komprachcice,Grain,0,1,1,1,Farmlands,,,,,,,,
1760,Chelmno,Lumber,0,1,1,1,Grasslands,,,,,,,,
1761,Papowo Biskupie,0,0,1,1,1,Farmlands,,,,,,,,
1762,Osie,0,0,1,1,1,Forest,,,,,,,,
1763,Debowiec,0,0,#N/A,#N/A,#N/A,Woods,,,,,,,,
1764,Koszecin,0,0,1,1,2,Forest,,,,,,,,
1765,Kalety,0,0,1,1,1,Forest,,,,,,,,
1766,Radzionkow,0,0,2,2,3,Hills,,,,,,,,
1767,Kobior,Naval supplies,0,1,1,1,Forest,,,,,,,,
1768,Nowy Duniow,0,0,1,1,1,Forest,,,,,,,,
1769,Radlin,0,0,2,4,3,Hills,,,,,,,,
1770,Wodzislaw Slaski,Fruits,0,7,7,8,Urban,,,,,,,,
1771,Buczkowice,0,0,2,1,2,Hills,,,,,,,,
1772,Czechowice-Dziedzice,0,0,7,11,8,Urban,,,,,,,,
1773,Olesno,Iron,0,#N/A,#N/A,#N/A,Woods,,,,,,,,
1774,Bielice,Grain,0,1,1,1,Grasslands,,,,,,,,
1775,Lubien Kujawski,Confectionery,0,1,1,1,Farmlands,,,,,,,,
1776,Sopot,Tourists,0,11,9,6,Urban,,,,,,,,
1777,Gdynia Srodmiescie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1778,Pisz,Ceramics,0,4,3,4,Woods,,,,,,,,
1779,Baranow,Livestock,0,2,5,1,Grasslands,,,,,,,,
1780,Slupno,0,0,2,1,1,Farmlands,,,,,,,,
1781,Dabrowno,Fish,0,1,1,1,Marsh,,,,,,,,
1782,Wasosz,Stone,0,#N/A,#N/A,#N/A,Farmlands,,,,,,,,
1783,Rutki,Fur,0,1,1,1,Marsh,,,,,,,,
1784,Siedlice,0,0,3,3,3,Grasslands,,,,,,,,
1785,Olszanka,0,0,1,1,1,Farmlands,,,,,,,,
1786,Jasieniec,0,0,1,1,1,Farmlands,,,,,,,,
1787,Osieck,0,0,1,1,1,Woods,,,,,,,,
1790,Chelmek,Metalworking,0,1,1,2,Farmlands,,,,,,,,
1791,Bircza,Lumber,0,1,1,1,Hills,,,,,,,,
1792,Cisna,Barley,0,1,1,1,Farmlands,,,,,,,,
