id,Prov,trade good ,latent trade good,tax,prod,manpower,terrain,Center of Trade,Local Airport,Airport,Border Crossing,Mountain Pass,Isthmus,River Tributary,River Estruary,Satellite City,Training Area
2094,Krasne,Apiculture,0,#N/A,#N/A,#N/A,Grasslands, , , , , , , , ,,
2095,Zelechow,Fur,0,1,1,1,Grasslands, , , , , , , , ,,
2096,Pilica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2097,Zolynia,Metalworking,0,1,1,1,Hills, , , , , , , , ,,
2098,Pilica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2099,Wojslawice,Fruits,0,1,1,1,Hills, , , , , , , , ,,
2100,Grabowiec,Fruits,0,1,1,1,Farmlands, , , , , , , , ,,
2101,Laszki,Barley,0,1,1,1,Grasslands, , , , , , , , ,,
2102,City of Mazowieckie,Dairy,0,1,2,1,Farmlands,1, , , , , , , ,,
2103,Goworowo,0,0,1,1,1,Woods, , , , , , , , ,,
2104,Dlugosiodlo,0,0,1,1,1,Woods, , , , , , , , ,,
2105,Rzasnik,0,0,1,1,1,Woods, , , , , , , , ,,
2106,Dzierzaznia,0,0,1,1,1,Farmlands, , , , , , , , ,,
2107,Czarna,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2108,Karniewo,0,0,1,1,1,Farmlands, , , , , , , , ,,
2109,Czarna,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2110,Czarna,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2111,Czarna,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2112,Czarna,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2113,Czarna,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2114,Czarna,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2115,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2116,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2117,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2118,Jablonna Lacka,0,0,1,1,1,Grasslands, , , , , , , , ,,
2119,Knyszyn,Lumber,0,1,1,1,Forest, , , , , , , , ,,
2120,Wierzbno,Barley,0,1,1,1,Grasslands, , , , , , , , ,,
2121,Luko,Cattle,0,3,2,3,Farmlands, , , , , , , , ,,
2122,Chyzew,Maize,0,1,1,1,Farmlands, , , , , , , , ,,
2123,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2124,City of Lukow,Cattle,0,4,6,5,Grasslands, , , , , , , , ,,
2125,Liw,0,0,1,1,1,Grasslands, , , , , , , , ,,
2126,Zielonka,0,0,3,2,3,Forest, , , , , , , , ,,
2127,Radzyn Podlaski,Dairy,0,1,1,1,Marsh, , , , , , , , ,,
2128,Wilga,Fruits,0,1,1,1,Forest, , , , , , , , ,,
2129,Garwolin,Lumber,0,2,1,2,Grasslands, , , , , , , , ,,
2130,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2131,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2132,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2133,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2134,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2135,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2136,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2137,Wadowice,Confectionery,0,6,8,6,Urban, , , , , , , , ,,
2138,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2139,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2140,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2141,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2142,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2143,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2144,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2145,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2146,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2147,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2148,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2149,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2150,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2151,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2152,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2153,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2154,Sochocin,0,0,1,1,1,Grasslands, , , , , , , , ,,
2155,Brok,0,0,1,1,1,Forest, , , , , , , , ,,
2156,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2157,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2158,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2159,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2160,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2161,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2162,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2163,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2164,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2165,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2166,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2167,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2168,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2169,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2170,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2171,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2172,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2173,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2174,San,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2175,WisĹ‚ok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2176,WisĹ‚ok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2177,WisĹ‚ok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2178,WisĹ‚ok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2179,WisĹ‚ok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2180,WisĹ‚ok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2181,WisĹ‚ok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2182,WisĹ‚ok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2183,WisĹ‚ok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2184,WisĹ‚ok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2185,Wyszkow,0,0,6,8,7,Urban, , , , , , , , ,,
2186,WisĹ‚ok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2187,WisĹ‚ok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2188,WisĹ‚ok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2189,Pniewy,0,0,2,2,2,Farmlands, , , , , , , , ,,
2190,WisĹ‚ok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2191,WisĹ‚ok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2192,Bels Duzy,0,0,1,2,1,Farmlands, , , , , , , , ,,
2193,WisĹ‚ok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2194,WisĹ‚ok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2195,Stormiec,0,0,1,1,1,Woods, , , , , , , , ,,
2196,Opatowek,0,0,1,1,2,Farmlands, , , , , , , , ,,
2197,Magnuszew,0,0,1,1,1,Grasslands, , , , , , , , ,,
2198,Wola Myslowska,Apiculture,0,1,1,1,Grasslands, , , , , , , , ,,
2199,Nowodwor,Fruits,0,1,1,1,Farmlands, , , , , , , , ,,
2200,Sarnaki,0,0,1,1,1,Forest, , , , , , , , ,,
2201,Laskarzew,Cloth,0,1,1,1,Grasslands, , , , , , , , ,,
2202,Tulszikow,0,0,1,1,1,Woods, , , , , , , , ,,
2203,Widawa,Cattle,0,1,1,1,Grasslands, , , , , , , , ,,
2204,Szczercow,Coal,0,2,1,1,Farmlands, , , , , , , , ,,
2205,Brudzew,0,0,1,1,1,Grasslands, , , , , , , , ,,
2206,Swinice Warckie,Poultry,0,1,1,1,Grasslands, , , , , , , , ,,
2207,Blaszki,Vegetables,0,2,1,2,Farmlands, , , , , , , , ,,
2208,Baranow,0,0,#N/A,#N/A,#N/A,Grasslands, , , , , , , , ,,
2209,Sedziejowice,Cattle,0,1,1,1,Grasslands, , , , , , , , ,,
2210,Zapolice,0,0,1,1,1,Grasslands, , , , , , , , ,,
2211,Braszewice,0,0,1,1,1,Woods, , , , , , , , ,,
2212,Brzezno,0,0,1,1,1,Grasslands, , , , , , , , ,,
2213,Bolimow,Fish,0,1,1,1,Grasslands, , , , , , , , ,,
2214,Zdunska Wola,0,0,1,1,2,Grasslands, , , , , , , , ,,
2215,Zloczew,0,0,1,1,1,Grasslands, , , , , , , , ,,
2216,Nieborow,Tourists,0,1,1,1,Grasslands, , , , , , , , ,,
2217,Strzelce,Cattle,0,1,1,1,Farmlands, , , , , , , , ,,
2218,Sanniki,0,0,1,1,1,Farmlands, , , , , , , , ,,
2219,Zychlin,Copper,0,1,1,2,Farmlands, , , , , , , , ,,
2220,Ujazd,0,0,1,1,1,Farmlands, , , , , , , , ,,
2221,Czerniewice,0,0,1,1,1,Woods, , , , , , , , ,,
2222,Chasno,Triticale,0,1,1,1,Farmlands, , , , , , , , ,,
2223,Pacyna,0,0,1,1,1,Farmlands, , , , , , , , ,,
2224,Nowy Kaweczyn,Barley,0,1,1,1,Farmlands, , , , , , , , ,,
2225,Nowe Miasto nad Pilnica,0,0,1,1,1,Farmlands, , , , , , , , ,,
2226,Mogielnica,0,0,1,1,1,Farmlands, , , , , , , , ,,
2227,Ulan-Majorat,Fruits,0,#N/A,#N/A,#N/A,Farmlands, , , , , , , , ,,
2228,Puszcza Marianska,0,0,1,1,1,Woods, , , , , , , , ,,
2229,WisĹ‚ok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2230,Mszczonow,0,0,2,3,2,Farmlands, , , , , , , , ,,
2231,Czemierniki,Amber,0,1,1,1,Hills, , , , , , , , ,,
2232,Zelechlinek,0,0,1,1,1,Farmlands, , , , , , , , ,,
2233,City of Rawa Mazowiecka,0,0,2,4,3,Farmlands, , , , , , , , ,,
2234,Slubice,0,0,#N/A,#N/A,#N/A,Woods, , , , , , , , ,,
2235,Makow,Cattle,0,1,1,1,Grasslands, , , , , , , , ,,
2236,Drohiczyn,Tourists,0,1,1,1,Floodplains, , , , , , , , ,,
2237,Gorzkowice,0,0,1,1,1,Grasslands, , , , , , , , ,,
2238,Gorno,Fruits,0,2,1,2,Farmlands, , , , , , , , ,,
2239,Popow,0,0,1,1,1,Woods, , , , , , , , ,,
2240,Miedziana Gora,Copper,0,1,1,2,Hills, , , , , , , , ,,
2241,Konopiska,Hemp,0,1,1,2,Woods, , , , , , , , ,,
2242,Blachowina,0,0,1,1,2,Forest, , , , , , , , ,,
2243,Zagansk,Tourists,0,1,1,2,Hills, , , , , , , , ,,
2244,Maslow,Poultry,0,#N/A,#N/A,#N/A,Farmlands, ,1, , , , , , ,,
2245,Nowiny,Stone,0,1,2,1,Hills, , , , , , , , ,,
2246,Kleszczow,Coal,0,7,10,1,Farmlands, , , , , , , , ,,
2247,Gomunice,0,0,1,1,1,Woods, , , , , , , , ,,
2248,Paradyz,Ceramics,0,1,1,1,Grasslands, , , , , , , , ,,
2249,Morawica,Naval supplies,0,3,2,3,Grasslands, , , , , , , , ,,
2250,Lopuszno,Lumber,0,1,1,1,Forest, , , , , , , , ,,
2251,Kamielski,0,0,1,1,1,Woods, ,1, , , , , , ,,
2252,Maslowice,0,0,1,1,1,Grasslands, , , , , , , , ,,
2253,Zarnow,Maize,0,1,1,1,Grasslands, , , , , , , , ,,
2254,Miedzzno,Maize,0,1,1,1,Forest, , , , , , , , ,,
2255,Klobuck,0,0,2,3,3,Highlands, , , , , , , , ,,
2256,Ladzice,0,0,1,1,1,Grasslands, , , , , , , , ,,
2257,Olsztyn,Lumber,0,1,1,1,Highlands, , , , , , , , ,,
2258,Niegowa,0,0,1,1,1,Highlands, , , , , , , , ,,
2259,Gowarczow,Vegetables,0,1,1,1,Farmlands, , , , , , , , ,,
2260,Sulmierzyce,Stone,0,1,1,1,Grasslands, , , , , , , , ,,
2261,Bialaczow,Cattle,0,1,1,1,Forest, , , , , , , , ,,
2262,Reczno,0,0,1,1,1,Woods, , , , , , , , ,,
2263,Boronow,0,0,1,1,1,Forest, , , , , , , , ,,
2264,Mniow,Triticale,0,1,1,1,Grasslands, , , , , , , , ,,
2265,Ruda Malenicka,Iron,0,1,1,1,Woods, , , , , , , , ,,
2266,Aleksandrow,0,0,#N/A,#N/A,#N/A,Woods, , , , , , , , ,,
2267,Nowa Brzeznica,Stone,0,1,1,1,Forest, , , , , , , , ,,
2268,Konskie,Horses,0,5,6,6,Urban,1, , , , , , , ,,
2269,Redziny,0,0,1,1,1,Farmlands, ,1, , , , , , ,,
2270,Mierzecie,0,0,1,1,1,Highlands, , , , , , , , ,,
2271,Mykanow,0,0,2,1,2,Highlands, , , , , , , , ,,
2272,Poczesna,0,0,2,2,2,Highlands, , , , , , , , ,,
2273,Kamienica Polska,0,0,1,1,1,Forest, , , , , , , , ,,
2274,Kije,Ceramics,0,1,1,1,Farmlands, , , , , , , , ,,
2275,Lagow,Ceramics,0,#N/A,#N/A,#N/A,Woods, , , , , , , , ,,
2276,Kroczyce,0,0,1,1,1,Woods, , , , , , , , ,,
2277,Imielno,Vodka,0,1,1,1,Farmlands, , , , , , , , ,,
2278,Poraj,0,0,1,2,2,Woods, , , , , , , , ,,
2279,Ogrodzieniec,0,0,1,1,1,Forest, , , , , , , , ,,
2280,Lelow,0,0,1,1,1,Highlands, , , , , , , , ,,
2281,Irzadze,0,0,1,1,1,Highlands, , , , , , , , ,,
2282,Pilica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
2283,Szczekociny,0,0,1,1,1,Highlands, , , , , , , , ,,
2284,Radkow,Confectionery,0,#N/A,#N/A,#N/A,Farmlands, , , , , , , , ,,
2285,Oksa,Tourists,0,1,1,1,Grasslands, , , , , , , , ,,
2286,Sedziwszow,Naval supplies,0,1,1,2,Hills, , , , , , , , ,,
2287,Zarnowiec,0,0,1,1,1,Highlands, , , , , , , , ,,
2288,Sobkow,Stone,0,1,1,1,Floodplains, , , , ,1, , , ,,
2289,Korzena,Cattle,0,3,1,2,Hills, , , , , , , , ,,
2290,Malogoszcz,Stone,0,1,1,2,Hills, , , , , , , , ,,
2291,Przyrow,0,0,1,1,1,Highlands, , , , , , , , ,,
2292,Kruszyna,0,0,1,1,1,Forest, , , , , , , , ,,
2293,Dabrowa Zielona,0,0,1,1,1,Woods, , , , , , , , ,,
2294,Lipnica Murowana,Poultry,0,1,1,1,Hills, , , , , , , , ,,
2295,Gidle,0,0,1,1,1,Woods, , , , , , , , ,,
2296,Trzcinica,0,0,1,1,1,Farmlands, , , , , , , , ,,
2297,Wolczyn,Stone,0,1,1,2,Woods, , , , , , , , ,,
2298,Gorzow Slaski,Cattle,0,1,1,1,Grasslands, , , , , , , , ,,
2299,Lipie,0,0,1,1,1,Woods, , , , , , , , ,,
2300,Sokolniki,0,0,1,1,1,Woods, , , , , , , , ,,
2301,Kayseri,0,0,#N/A,#N/A,#N/A,Forest, , , , , , , , ,,
2302,Wierzchlas,0,0,1,1,1,Woods, , , , , , , , ,,
2303,Sieroszewice,0,0,1,1,1,Woods, , , , , , , , ,,
2304,Ostrolwek,0,0,#N/A,#N/A,#N/A,Grasslands, , , , , , , , ,,
2305,Grabow nad Prosna,0,0,1,1,1,Grasslands, , , , , , , , ,,
2306,Stawiszyn,0,0,1,1,1,Farmlands, , , , , , , , ,,
2307,Kaweczyn,0,0,1,1,1,Grasslands, , , , , , , , ,,
2308,Godziesze Wielkie,0,0,1,1,1,Grasslands, , , , , , , , ,,
2309,Dobra,0,0,#N/A,#N/A,#N/A,Forest, , , , , , , , ,,
2310,Dabie,Barley,0,#N/A,#N/A,#N/A,Forest, , , , , , , , ,,
2311,Piatek,Vegetables,0,1,1,1,Grasslands, , , , , , , , ,,
2312,Witonia,Apiculture,0,1,1,1,Farmlands, , , , , , , , ,,
2313,Odrzywol,0,0,1,1,1,Woods, , , , , , , , ,,
2314,Goszczanow,0,0,1,1,1,Farmlands, ,1, , , , , , ,,
2315,Wojciechowice,#N/A,#N/A,1,1,1,#N/A, , , , , , , , ,,
2316,Iwaniska,Metalworking,0,1,1,1,Woods, , , , , , , , ,,
2317,Pierzchnica,Glass,0,1,1,1,Hills, , , , , , , , ,,
2318,Chmielnik,Confectionery,0,#N/A,#N/A,#N/A,Grasslands, , , , , , , , ,,
2319,Paleczica,Barley,0,1,1,1,Farmlands, , , , , , , , ,,
2320,Dzialoszyce,Oil,0,1,1,1,Farmlands, , , , , , , , ,,
2321,Zawichost,Fruits,0,1,1,1,Farmlands, , , , , , , , ,,
2322,Obrazow,Vegetables,0,1,1,1,Farmlands, , , , , , , , ,,
2323,Pinczow,Stone,0,2,3,3,Farmlands, ,1, , , , , , ,,
2324,Staszow,Consumer Goods,0,4,4,4,Urban, , , , , , , , ,,
2325,Miechow,Cloth,0,3,2,3,Farmlands, , , , , , , , ,,
2326,Iwanowice,Vegetables,0,1,1,1,Farmlands, , , , , , , , ,,
2327,Sobolew,Dairy,0,1,1,1,Grasslands, , , , , , , , ,,
2328,Sieciechow,0,0,1,1,1,Farmlands, , , , , , , , ,,
2329,Jastrzebia,0,0,1,1,1,Grasslands, , , , , , , , ,,
2330,Radom Centrum,Consumer Goods, ,10,9,10,Urban,2, , , , , , , ,,
2331,Kazanow,0,0,1,1,1,Grasslands, , , , , , , , ,,
2332,Chotcza,0,0,1,1,1,Grasslands, , , , , , , , ,,
2333,Abramow,Cattle,0,1,1,1,Farmlands, , , , , , , , ,,
2334,Zakrzew,0,0,#N/A,#N/A,#N/A,Farmlands, , , , , , , , ,,
2335,Zyrzyn,Cloth,0,1,1,1,Farmlands, , , , , , , , ,,
2336,Kock,Fish,0,1,1,1,Hills, , , , , , , , ,,
2337,Jedlnia-Letnisko,0,0,1,1,2,Grasslands, ,1, , , , , , ,,
2338,Gozd,0,0,1,1,1,Grasslands, , , , , , , , ,,
2339,Michow,Barley,0,1,1,1,Farmlands, , , , , , , , ,,
2340,Jedlinsk,0,0,2,1,2,Grasslands, , , , , , , , ,,
2341,Skaryszew,0,0,2,1,2,Grasslands, , , , , , , , ,,
2342,WisĹ‚ok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2343,Skarzysko-Kamienna,Iron,0,#N/A,#N/A,#N/A,Urban,1, , , , , , , ,,
2344,Skarzysko Koscielne,Oil,0,1,1,1,Grasslands, , , , , , , , ,,
2345,Oronsko,0,0,1,1,1,Grasslands, , , , , , , , ,,
2346,Konskowola,Horses,0,1,1,1,Farmlands, , , , , , , , ,,
2347,Pulawy,Stone,0,1,1,2,Floodplains, , , , , , ,1, ,,
2348,Pokoj,Lumber,0,1,1,1,Woods, , , , , , , , ,,
2349,Kotun,0,0,1,1,1,Grasslands, , , , , , , , ,,
2350,Adamow,Lumber,0,1,1,1,Woods, , , , , , , , ,,
2351,Michalowo,Vegetables,0,1,1,1,Forest, , , , , , , , ,,
2352,Hajnowka,Wheat,0,1,1,1,Farmlands, , , , , , , , ,,
2353,Czyze,Triticale,0,1,1,1,Farmlands, , , , , , , , ,,
2354,Korczew,Triticale,0,1,1,1,Grasslands, , , , , , , , ,,
2355,City of Sokolow Podlaski,0,0,3,5,3,Grasslands,1, , , , , , , ,,
2356,CZeremcha,Confectionery,0,1,1,1,Forest, , , , , , ,1, ,,
2357,City of Hajnowka,Vegetables,0,3,3,3,Woods, , , , , , , , ,,
2358,Dubiecze Cerkiewne,Vegetables,0,1,1,1,Woods, , , , , , , , ,,
2359,Bialowieza,Lumber,0,1,1,1,Forest, , , , , , , , ,,
2360,Sokolow Podlaski,0,0,1,1,1,Grasslands, , , , , , , , ,,
2361,City of Bielsk Podlaski,Iron,0,3,5,4,Urban,1, , , , , , , ,,
2362,Stredyn,0,0,1,1,1,Grasslands, , , , , , , , ,,
2363,Milejczyce,Fur,0,1,1,1,Forest, , , , , , , , ,,
2364,Nurzec-Stacja,Mushrooms,0,#N/A,#N/A,#N/A,Forest, , , , , , , , ,,
2365,Jaktorow,0,0,3,1,2,Grasslands, , , , , , , , ,,
2366,Dobre,0,0,#N/A,#N/A,#N/A,Farmlands, , , , , , , , ,,
2367,Grodzisk Mazowiecki,0,0,11,11,10,Urban, , , , , , , , ,,
2368,Suchozebry,0,0,1,1,1,Grasslands, , , , , , , , ,,
2369,Krynki,Vegetables,0,1,1,1,Woods, , , , , , , , ,,
2370,Bransk,Triticale,0,1,1,1,Farmlands, , , , , , , , ,,
2371,WisĹ‚oka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2372,WisĹ‚oka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2373,WisĹ‚oka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2374,WisĹ‚oka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2375,WisĹ‚oka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2376,WisĹ‚oka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2377,WisĹ‚oka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2378,WisĹ‚oka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2379,WisĹ‚oka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2380,WisĹ‚oka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2381,WisĹ‚oka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2382,WisĹ‚oka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2383,WisĹ‚oka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2384,WisĹ‚oka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2385,WisĹ‚oka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2386,WisĹ‚oka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2387,WisĹ‚oka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2388,WisĹ‚oka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2389,WisĹ‚oka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2390,WisĹ‚oka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2391,WisĹ‚oka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2392,Raba,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2393,Raba,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2394,Raba,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2395,Raba,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2396,Raba,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2397,Raba,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2398,Raba,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2399,Raba,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2400,Raba,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2401,Raba,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2402,Raba,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2403,Dunajec,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2404,Dunajec,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
2405,Sztabin,Cattle,0,1,1,1,Woods, , , , , , , , ,,
2406,Szczuczyn,Vegetables,0,1,1,1,Farmlands, , , , , , , , ,,
2407,Wielbark,Naval supplies,0,1,1,1,Woods, , , , , , , , ,,
2408,Kiwity,Wheat,0,1,1,1,Farmlands, , , , , , , , ,,
2409,Nieporet,0,0,3,2,3,Farmlands, , , , , , , , ,,
2410,Milanowek,0,0,3,1,3,Grasslands, , , , , , , , ,,
2411,Turosl,Mushrooms,0,1,1,1,Woods, , , , , , , , ,,
2412,Czosnow,0,0,2,3,2,Grasslands, , , , , , ,1, ,,
2413,Leoncin,0,0,1,1,1,Forest, , , , , , , , ,,
2414,Leszno,0,0,14,15,11,Grasslands, , , , , , , , ,,
2415,Klembow,0,0,2,1,2,Grasslands, , , , , , , , ,,
2416,Brochow,0,0,1,1,1,Woods, , , , , , , , ,,
2417,Teresin,0,0,2,2,2,Farmlands, , , , , , , , ,,
2418,Radzymin,0,0,6,4,5,Urban, , , , , , , , ,,
2419,Kolbiel,0,0,1,1,1,Grasslands, , , , , , , , ,,
2420,Debe Wielkie,0,0,2,1,2,Grasslands, , , , , , , , ,,
2421,Tluszcz,0,0,3,1,3,Grasslands, , , , , , , , ,,
2422,Banie Mazurskie,Pigs,0,1,1,1,Grasslands, , , , , , , , ,,
2423,Pozezdrze,Maize,0,1,1,1,Farmlands, , , , , , , , ,,
2424,Skepe,Iron,0,1,1,1,Forest, , , , , , , , ,,
2425,Nasielsk,0,0,3,1,3,Grasslands, , , , , , , , ,,
